time,open,high,low,close,volume
1777204800,78101.43,78101.5,77770.0,77833.08,296.93614
1777208400,77833.08,77996.69,77797.13,77977.79,254.46962
1777212000,77977.79,78173.15,77871.85,78095.66,401.66239
1777215600,78095.65,78121.92,77988.89,78049.0,177.4742
1777219200,78049.0,78086.47,77919.42,77919.43,198.96678
1777222800,77919.43,78050.0,77850.0,78018.57,373.25532
1777226400,78018.57,78346.89,77988.11,78283.96,421.27794
1777230000,78283.97,78500.0,78013.76,78221.16,511.56
1777233600,78221.17,78377.77,78158.04,78194.22,172.13709
1777237200,78194.21,78961.0,77843.75,78417.41,977.34524
1777240800,78417.41,78850.3,77953.26,78313.52,710.63176
1777244400,78313.52,78901.63,78041.05,78657.55,669.20184
1777248000,78657.55,79392.4,78400.03,79308.6,1271.22649
1777251600,79309.0,79485.66,78730.71,79283.66,993.09217
1777255200,79283.65,79304.0,79030.91,79130.01,381.22923
1777258800,79130.01,79316.5,79077.81,79105.49,397.44839
1777262400,79105.5,79160.0,78872.42,78924.22,417.67922
1777266000,78924.21,78938.0,77562.63,77785.54,1805.78745
1777269600,77785.55,77871.9,77465.05,77700.12,641.73182
1777273200,77700.12,77734.79,77562.08,77606.6,743.19766
1777276800,77606.59,77816.18,77553.23,77804.34,465.54163
1777280400,77804.34,77980.0,77700.0,77900.01,578.50773
1777284000,77900.01,77935.66,77792.46,77850.01,311.10764
1777287600,77850.01,77885.46,77740.39,77844.26,252.77882
1777291200,77844.25,77867.33,77620.0,77667.36,415.46743
1777294800,77667.36,77966.8,77571.79,77746.74,762.7167
1777298400,77746.74,78265.34,77680.0,77815.25,744.42829
1777302000,77815.26,77827.17,76564.33,76793.09,1882.17067
1777305600,76793.1,76868.01,76546.0,76618.59,809.46498
1777309200,76618.59,76990.43,76618.59,76743.24,874.80558
1777312800,76743.23,76890.99,76668.52,76834.06,361.97331
1777316400,76834.05,76894.7,76459.64,76878.07,598.68003
1777320000,76878.23,77067.8,76844.16,76960.43,310.80766
1777323600,76960.43,76981.53,76786.8,76786.81,223.94467
1777327200,76786.81,77082.78,76763.71,77066.42,364.86359
1777330800,77066.42,77450.0,77018.56,77371.32,438.27302
1777334400,77371.32,77478.0,77210.92,77379.62,327.26244
1777338000,77379.62,77394.1,77038.1,77084.68,404.77602
1777341600,77084.69,77227.03,76672.56,76890.93,437.7548
1777345200,76890.92,76890.92,76672.0,76815.18,278.47081
1777348800,76815.18,76950.0,76701.35,76888.08,274.86374
